name,camera,display,price,processor,rating,rom
Apple iPhone 6 Plus (Gold| 64 GB),8MP Rear Camera | 1.2MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"71,500",A8 Chip with 64-bit Architecture and M8 Motion Co-processor,4.7,64 GB ROM 
Apple iPhone SE (Gold| 64 GB),12MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"27,490",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,425,64 GB ROM 
Apple iPhone 5C (Pink| 8 GB),8MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"22,199",A6 Chip Processor,446,8 GB ROM 
Apple iPhone 5C (Yellow| 32 GB),8MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"25,999",A6 Chip Processor,1.8,32 GB ROM 
Apple iPhone 7 Plus (Jet Black| 32 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"53,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 4s (White| 8 GB),8MP Rear Camera | 0.3MP Front Camera,8.89 cm (3.5 inch) Display,"12,999",A5 Chip Processor,4.2,8 GB ROM 
Apple iPhone 4s (Black| 8 GB),8MP Rear Camera | 0.3MP Front Camera,8.89 cm (3.5 inch) Display,"12,999",A5 Chip Processor,4.2,8 GB ROM 
Apple iPhone 4s (White| 8 GB),8MP Rear Camera | 0.3MP Front Camera,8.89 cm (3.5 inch) Retina Display,"38,500",A5 Chip Processor,3.3,8 GB ROM 
Apple iPhone 4s (Black| 16 GB),8MP Rear Camera | 0.3MP Front Camera,8.89 cm (3.5 inch) NA Display,"38,500",A5 Chip Processor,3.3,16 GB ROM 
Apple iPhone 8 Plus (PRODUCT)RED (Red| 256 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"79,999","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.6,256 GB ROM 
Apple iPhone 6 (Silver| 64 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"25,999",A8 Chip with 64-bit Architecture and M8 Motion Co-processor,4.5,64 GB ROM 
Apple iPhone 6 (Silver| 16 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"36,990",Apple A8 64-bit processor and M8 Motion Co-processor,4.4,16 GB ROM 
Apple iPhone 6 (Gold| 128 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"49,999",A8 Chip with 64-bit Architecture and M8 Motion Co-processor,4.6,128 GB ROM 
Apple iPhone 6 (Gold| 16 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"36,499",A8 Chip with 64-bit Architecture and M8 Motion Co-processor,4.5,16 GB ROM 
Apple iPhone 5s (Silver| 16 GB),8MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"25,000",Apple A7 64-bit processor and M7 Motion Co-processor,4.3,16 GB ROM 
Apple iPhone 5s (Space Grey| 16 GB),8MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"25,000",Apple A7 64-bit processor and M7 Motion Co-processor,4.4,16 GB ROM 
Apple iPhone 5s (Gold| 16 GB),8MP Rear Camera | 1.2MP Front Camera,10.16 cm (4 inch) Retina Display,"14,999",Apple A7 64-bit processor and M7 Motion Co-processor,4.3,16 GB ROM 
Apple iPhone 6 (Silver| 128 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"62,999",A8 Chip with 64-bit Architecture and M8 Motion Co-processor,4.3,128 GB ROM 
Apple iPhone 6 (Grey| 128 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"52,000",Apple A8 64-bit processor and M8 Motion Co-processor,3.5,128 GB ROM 
Apple iPhone 6 (Gold| 64 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"26,999",A8 Chip with 64-bit Architecture and M8 Motion Co-processor,4.6,64 GB ROM 
